08:54:59.164 default [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
08:54:59.174 default [restartedMain] INFO  c.e.d.DemoCommunicateApiApplication - Starting DemoCommunicateApiApplication using Java 17.0.8.1 on ITDC-6716 with PID 15672 (D:\eclipse\demoCommunicateAPI\demoCommunicateAPI\target\classes started by user in D:\eclipse\demoCommunicateAPI\demoCommunicateAPI)
08:54:59.175 default [restartedMain] INFO  c.e.d.DemoCommunicateApiApplication - No active profile set, falling back to 1 default profile: "default"
08:54:59.242 default [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08:54:59.243 default [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08:55:00.183 default [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
08:55:00.197 default [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 JPA repository interfaces.
08:55:01.236 default [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
08:55:01.253 default [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
08:55:01.254 default [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
08:55:01.254 default [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
08:55:01.453 default [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08:55:01.453 default [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2209 ms
08:55:01.499 default [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
08:55:01.759 default [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
08:55:01.777 default [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:daf19d57-3daf-4a7c-bbe1-e92d04418235'
08:55:01.984 default [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
08:55:02.079 default [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
08:55:02.316 default [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
08:55:02.477 default [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
08:55:02.783 default [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
08:55:02.825 default [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
08:55:03.601 default [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
08:55:04.432 default [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@38c46d44, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5c0c20bd, org.springframework.security.web.context.SecurityContextPersistenceFilter@425e1f9, org.springframework.security.web.header.HeaderWriterFilter@158a4fa8, org.springframework.security.web.csrf.CsrfFilter@18029160, org.springframework.security.web.authentication.logout.LogoutFilter@618e7471, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6f86c0d6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7120de6c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7e8bee1a, org.springframework.security.web.session.SessionManagementFilter@20ce5131, org.springframework.security.web.access.ExceptionTranslationFilter@7bd2bbd, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4b90c2bf]
08:55:04.581 default [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
08:55:04.855 default [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
08:55:05.633 default [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
